features,coefs,probs
many,-0.040368112693941846,0.48990934208762865
everything,-0.015270270348492763,0.49618250659321583
even,-0.001680801055818564,0.4995797998349707
amp,0.0019918727174586034,0.5004979680147216
job,0.02988195051787189,0.5074699317932885
could,0.03382301899958512,0.5084549487292043
better,0.03711164587448603,0.5092768467628731
bit,0.04188224670251295,0.5104690313899958
deleted,0.05230833572659045,0.513074102995615
republican,0.061603675071356515,0.5153960500585468
actually,0.07554054898179922,0.5188761618948886
come,0.08158849546151713,0.5203858166272429
finished,0.08541968697566547,0.5213419464882572
tv,0.1196596417015947,0.5298792669149011
said,0.12763375828825366,0.5318651933132857
yes,0.12807480034950677,0.5319750044536063
least,0.1372855907429445,0.5342675935211462
going,0.13926757667030135,0.5347607289662537
found,0.1426887566456465,0.5356117880796486
give,0.1464820401491771,0.5365551697469982
post,0.1517476375811127,0.5378642777819963
also,0.16279314867320469,0.5406086438879371
thank,0.17301510929068414,0.5431462019602349
little,0.1841617798858044,0.5459107608241163
fan,0.18898716030147986,0.5471066677430596
every,0.20401051652274915,0.5508264669316861
friend,0.21455675057649673,0.5534343589709324
nbsp,0.2222070057466782,0.5553242977208986
candidate,0.2304787750833536,0.5573659760319144
writer,0.23126687989376452,0.5575603998956548
happen,0.2321371414408992,0.5577750711652059
scene,0.2397084999231955,0.559641812405697
next,0.26138033570535146,0.5649755785685773
never,0.2638872204909994,0.5655916154675111
president,0.26625366235878806,0.5661729543802314
happened,0.26710447777947915,0.5663819208562626
great,0.2745105595696842,0.5681999038797881
know,0.27786047905319694,0.5690216140153169
watching,0.28022701144219103,0.569601877939803
want,0.2838661557580021,0.5704938075677664
love,0.2962831020694735,0.5735336397832606
story,0.30192114602746845,0.57491208962569
trying,0.30668336684576336,0.5760755028546796
tell,0.3126210041911135,0.5775248892622025
favorite,0.3189259137144029,0.5790624668109747
question,0.32788154678252557,0.5812438354400136
last,0.3329058518717718,0.582466246928802
used,0.33438203721703436,0.58282521043441
show,0.3485845448954243,0.5862742927109943
making,0.35457419265133,0.5877263674782037
thought,0.3648171543861216,0.5902060290943454
place,0.37814052364976836,0.5934245416794055
looking,0.37819673284368743,0.5934381033046712
state,0.37932213026058,0.5937095985973899
thinking,0.38404373809744546,0.5948480319837551
would,0.3922968042517789,0.5968354856740616
man,0.3975602586082676,0.5981013451486437
gt,0.39965329324154325,0.5986043572386816
imgur,0.45828243524019424,0.6126066430311684
speech,0.4718364716828127,0.6158183324007823
say,0.4726606080384232,0.6160132929984204
left,0.4809890358308685,0.6179813939644069
quote,0.4824694972210299,0.6183308407671654
different,0.5051581832054296,0.6236707554997737
well,0.5056801506866501,0.6237932562510623
get,0.5214970999429909,0.627497771661245
http,0.5275784572768019,0.6289181487047808
take,0.5333884734727152,0.6302730722575436
election,0.5353769469769608,0.6307363239484297
office,0.5455360377707087,0.6330992988683029
help,0.55645478192695,0.6356318490740136
ever,0.5585413915236529,0.6361149792998879
big,0.5596897807555224,0.636380758496345
watched,0.5657010982455517,0.6377706354536038
find,0.5689660581949585,0.6385245642602663
wa,0.5777059545634532,0.6405393758629561
world,0.5851791932791708,0.6422582659180737
new,0.620712597706705,0.6503806004431391
back,0.628337901898554,0.6521124910370268
end,0.6380863772889133,0.6543207555685353
else,0.6626264233810861,0.6598501310123636
issue,0.6627218670255138,0.6598715528144811
best,0.6774503323222045,0.6631694006346567
make,0.7022971637974068,0.6686968860316168
got,0.707129958022234,0.6697666755825606
campaign,0.7374615326845536,0.6764405141125691
let,0.7381127506603796,0.6765830289934741
week,0.7660737101335579,0.682670947049674
later,0.7996853522221986,0.689907170894035
year,0.8167149941897383,0.6935385799619371
one,0.8185880685936314,0.6939365440910006
staff,0.928225793715782,0.7167151989139687
today,0.9299928618368294,0.7170738373121736
everyone,0.9309324673803887,0.717264424610543
thing,0.9573664985340039,0.7225942245595609
watch,0.9628562346762211,0.7236933062921612
made,0.994779312547101,0.7300308918284376
name,1.0009132691221732,0.7312381003427753
secret,1.0201102805070439,0.7349940802157653
woman,1.0238585580154174,0.7357235180365018
two,1.0367699193027429,0.7382262791687164
right,1.0574185311107152,0.7421969142592676
moment,1.1001936714781977,0.7502963920378056
good,1.1058637529889443,0.7513571832215877
point,1.107970559004155,0.7517505673416021
part,1.1157975741297317,0.7532083778402479
mind,1.1251933138818435,0.7549507517204233
second,1.194896822498948,0.7676157128383471
need,1.2340873219296356,0.7745331504654588
weekly,1.2700151349387578,0.7807453387530522
idea,1.2724322720147536,0.7811588284489644
time,1.3163435019305816,0.7885727172675344
episode,1.365183719220015,0.7966008963539445
line,1.6770416191470314,0.842512395214774
john,1.972489335996014,0.8778782411374478
donna,2.072769419528094,0.888228202018966
charlie,2.1147725638920267,0.8923307242659304
hoynes,2.2521225869871415,0.9048334679005482
white,2.4603252343466977,0.921313243973372
bartlett,2.849111455914888,0.9452727346331865
santos,2.860600665438708,0.9458640649725786
cj,3.055786994074938,0.9550317110593256
tww,3.081087842932286,0.9561058612494225
sam,3.2732627407488164,0.9635000883934332
wing,3.38407862292075,0.9672032306033436
leo,3.50558854248496,0.9708463625954261
sorkin,3.777608428242629,0.9776343282024147
west,4.029839603246806,0.982533327081041
toby,4.058729826437349,0.9830222789566708
josh,4.228422751894146,0.9856340278464093
bartlet,4.231424479263113,0.9856764691779057
